"Epoch","jumping-pine-25 - _step","jumping-pine-25 - _step__MIN","jumping-pine-25 - _step__MAX","jumping-pine-25 - Train accuracy","jumping-pine-25 - Train accuracy__MIN","jumping-pine-25 - Train accuracy__MAX"
"129","71993","71993","71993","0.9152917665867306","0.9152917665867306","0.9152917665867306"
"130","72551","72551","72551","0.9140047961630695","0.9140047961630695","0.9140047961630695"
"131","73109","73109","73109","0.9150439648281375","0.9150439648281375","0.9150439648281375"
"132","73668","73668","73668","0.9150559552358114","0.9150559552358114","0.9150559552358114"
"135","75342","75342","75342","0.921978417266187","0.921978417266187","0.921978417266187"
"137","76458","76458","76458","0.9214708233413269","0.9214708233413269","0.9214708233413269"
"139","77574","77574","77574","0.9239008792965627","0.9239008792965627","0.9239008792965627"
"141","78690","78690","78690","0.9245763389288569","0.9245763389288569","0.9245763389288569"
"143","79807","79807","79807","0.9273181454836132","0.9273181454836132","0.9273181454836132"
"144","80365","80365","80365","0.9289848121502798","0.9289848121502798","0.9289848121502798"
"145","80923","80923","80923","0.9292126298960832","0.9292126298960832","0.9292126298960832"
"147","82039","82039","82039","0.9301958433253399","0.9301958433253399","0.9301958433253399"
"148","82597","82597","82597","0.9332893685051958","0.9332893685051958","0.9332893685051958"
"149","83155","83155","83155","0.9336011191047163","0.9336011191047163","0.9336011191047163"
"150","83713","83713","83713","0.9327338129496403","0.9327338129496403","0.9327338129496403"
"152","84830","84830","84830","0.936898481215028","0.936898481215028","0.936898481215028"
"153","85388","85388","85388","0.9358992805755396","0.9358992805755396","0.9358992805755396"
"155","86504","86504","86504","0.9405435651478816","0.9405435651478816","0.9405435651478816"
"159","88736","88736","88736","0.943289368505196","0.943289368505196","0.943289368505196"
"160","89294","89294","89294","0.9442845723421264","0.9442845723421264","0.9442845723421264"
"161","89852","89852","89852","0.9428577138289369","0.9428577138289369","0.9428577138289369"
"163","90969","90969","90969","0.9460351718625098","0.9460351718625098","0.9460351718625098"
"165","92085","92085","92085","0.9498001598721024","0.9498001598721024","0.9498001598721024"
"166","92643","92643","92643","0.9499960031974423","0.9499960031974423","0.9499960031974423"
"167","93201","93201","93201","0.9512869704236611","0.9512869704236611","0.9512869704236611"
"169","94317","94317","94317","0.9511071143085533","0.9511071143085533","0.9511071143085533"
"172","95992","95992","95992","0.9534732214228616","0.9534732214228616","0.9534732214228616"
"176","98224","98224","98224","0.9577897681854515","0.9577897681854515","0.9577897681854515"
"178","99340","99340","99340","0.9601758593125499","0.9601758593125499","0.9601758593125499"
"182","101573","101573","101573","0.9606754596322942","0.9606754596322942","0.9606754596322942"
"183","102131","102131","102131","0.9647202238209431","0.9647202238209431","0.9647202238209431"
"186","103805","103805","103805","0.968285371702638","0.968285371702638","0.968285371702638"
"188","104921","104921","104921","0.9674860111910472","0.9674860111910472","0.9674860111910472"
"189","105479","105479","105479","0.9677617905675461","0.9677617905675461","0.9677617905675461"
"191","106595","106595","106595","0.9699120703437252","0.9699120703437252","0.9699120703437252"
"193","107712","107712","107712","0.9710271782573942","0.9710271782573942","0.9710271782573942"
"195","108828","108828","108828","0.9721183053557154","0.9721183053557154","0.9721183053557154"
"197","109944","109944","109944","0.9751438848920865","0.9751438848920865","0.9751438848920865"
"199","111060","111060","111060","0.9791366906474822","0.9791366906474822","0.9791366906474822"
"200","111618","111618","111618","0.9769224620303757","0.9769224620303757","0.9769224620303757"
"201","112176","112176","112176","0.9773061550759393","0.9773061550759393","0.9773061550759393"
"202","112735","112735","112735","0.9784812150279776","0.9784812150279776","0.9784812150279776"
"203","113293","113293","113293","0.9796802557953639","0.9796802557953639","0.9796802557953639"
"204","113851","113851","113851","0.9822981614708234","0.9822981614708234","0.9822981614708234"
"205","114409","114409","114409","0.9811950439648282","0.9811950439648282","0.9811950439648282"
"206","114967","114967","114967","0.9831175059952039","0.9831175059952039","0.9831175059952039"
"207","115525","115525","115525","0.9844364508393284","0.9844364508393284","0.9844364508393284"
"209","116641","116641","116641","0.9861310951239011","0.9861310951239011","0.9861310951239011"
"211","117757","117757","117757","0.9844364508393287","0.9844364508393287","0.9844364508393287"
"215","119990","119990","119990","0.9883533173461232","0.9883533173461232","0.9883533173461232"
"216","120548","120548","120548","0.9896123101518787","0.9896123101518787","0.9896123101518787"
"218","121664","121664","121664","0.9897881694644284","0.9897881694644284","0.9897881694644284"
"220","122780","122780","122780","0.9917945643485212","0.9917945643485212","0.9917945643485212"
"221","123338","123338","123338","0.9914268585131895","0.9914268585131895","0.9914268585131895"
"226","126129","126129","126129","0.9936250999200639","0.9936250999200639","0.9936250999200639"
"228","127245","127245","127245","0.9946482813749001","0.9946482813749001","0.9946482813749001"
"229","127803","127803","127803","0.9954676258992806","0.9954676258992806","0.9954676258992806"
"230","128361","128361","128361","0.9953637090327738","0.9953637090327738","0.9953637090327738"
"232","129478","129478","129478","0.9963029576338929","0.9963029576338929","0.9963029576338929"
"233","130036","130036","130036","0.9964028776978417","0.9964028776978417","0.9964028776978417"
"234","130594","130594","130594","0.9962430055955235","0.9962430055955235","0.9962430055955235"
"235","131152","131152","131152","0.9975619504396481","0.9975619504396481","0.9975619504396481"
"236","131710","131710","131710","0.997162270183853","0.997162270183853","0.997162270183853"
"238","132826","132826","132826","0.9980615507593925","0.9980615507593925","0.9980615507593925"
"239","133384","133384","133384","0.9979616306954436","0.9979616306954436","0.9979616306954436"
"242","135059","135059","135059","0.998101518784972","0.998101518784972","0.998101518784972"
"243","135617","135617","135617","0.9986011191047162","0.9986011191047162","0.9986011191047162"
"244","136175","136175","136175","0.9986011191047162","0.9986011191047162","0.9986011191047162"
"247","137849","137849","137849","0.9988609112709832","0.9988609112709832","0.9988609112709832"
"248","138407","138407","138407","0.9986610711430856","0.9986610711430856","0.9986610711430856"
"249","138965","138965","138965","0.999044764188649","0.999044764188649","0.999044764188649"
"251","140081","140081","140081","0.9992406075139888","0.9992406075139888","0.9992406075139888"
"252","140640","140640","140640","0.9993205435651478","0.9993205435651478","0.9993205435651478"
"253","141198","141198","141198","0.9995003996802557","0.9995003996802557","0.9995003996802557"
"255","142314","142314","142314","0.9991806554756195","0.9991806554756195","0.9991806554756195"
"257","143430","143430","143430","0.9992246203037569","0.9992246203037569","0.9992246203037569"
"258","143988","143988","143988","0.9996802557953637","0.9996802557953637","0.9996802557953637"
"259","144546","144546","144546","0.9997202238209433","0.9997202238209433","0.9997202238209433"
"263","146779","146779","146779","0.999740207833733","0.999740207833733","0.999740207833733"
"264","147337","147337","147337","0.9994844124700241","0.9994844124700241","0.9994844124700241"
"265","147895","147895","147895","0.9997601918465228","0.9997601918465228","0.9997601918465228"
"266","148453","148453","148453","0.9996802557953637","0.9996802557953637","0.9996802557953637"
"270","150685","150685","150685","0.9997601918465225","0.9997601918465225","0.9997601918465225"
"271","151243","151243","151243","0.9997202238209433","0.9997202238209433","0.9997202238209433"
"272","151802","151802","151802","0.9997202238209433","0.9997202238209433","0.9997202238209433"
"277","154592","154592","154592","0.9997202238209433","0.9997202238209433","0.9997202238209433"
"278","155150","155150","155150","0.9998800959232613","0.9998800959232613","0.9998800959232613"
"279","155708","155708","155708","0.9997601918465228","0.9997601918465228","0.9997601918465228"
"281","156824","156824","156824","0.9998201438848918","0.9998201438848918","0.9998201438848918"
"282","157383","157383","157383","0.9996802557953637","0.9996802557953637","0.9996802557953637"
"283","157941","157941","157941","0.9998601119104716","0.9998601119104716","0.9998601119104716"
"288","160731","160731","160731","0.9998601119104716","0.9998601119104716","0.9998601119104716"
"289","161289","161289","161289","0.9998401278976817","0.9998401278976817","0.9998401278976817"
"291","162405","162405","162405","0.9998800959232613","0.9998800959232613","0.9998800959232613"
"292","162964","162964","162964","0.9998800959232613","0.9998800959232613","0.9998800959232613"
"293","163522","163522","163522","0.999900079936051","0.999900079936051","0.999900079936051"
"295","164638","164638","164638","0.9997801758593124","0.9997801758593124","0.9997801758593124"
"296","165196","165196","165196","0.9998401278976817","0.9998401278976817","0.9998401278976817"
"298","166312","166312","166312","0.9997801758593124","0.9997801758593124","0.9997801758593124"
"299","166870","166870","166870","0.9999800159872101","0.9999800159872101","0.9999800159872101"
"300","167428","167428","167428","0.9998800959232613","0.9998800959232613","0.9998800959232613"
