"Epoch","jumping-pine-25 - _step","jumping-pine-25 - _step__MIN","jumping-pine-25 - _step__MAX","jumping-pine-25 - Validation loss","jumping-pine-25 - Validation loss__MIN","jumping-pine-25 - Validation loss__MAX"
"31","17301","17301","17301","0.7070707694760391","0.7070707694760391","0.7070707694760391"
"41","22882","22882","22882","0.6838987243494817","0.6838987243494817","0.6838987243494817"
"81","45206","45206","45206","0.6218071746240769","0.6218071746240769","0.6218071746240769"
"91","50787","50787","50787","0.536690145198788","0.536690145198788","0.536690145198788"
"111","61949","61949","61949","0.4548032288439572","0.4548032288439572","0.4548032288439572"
"121","67530","67530","67530","0.4911313796682017","0.4911313796682017","0.4911313796682017"
"131","73111","73111","73111","0.4397866538326655","0.4397866538326655","0.4397866538326655"
"141","78692","78692","78692","0.47229470818170477","0.47229470818170477","0.47229470818170477"
"151","84273","84273","84273","0.4400986480260534","0.4400986480260534","0.4400986480260534"
"161","89854","89854","89854","0.4537886550783047","0.4537886550783047","0.4537886550783047"
"171","95435","95435","95435","0.4253303974401206","0.4253303974401206","0.4253303974401206"
"181","101016","101016","101016","0.3903284498290824","0.3903284498290824","0.3903284498290824"
"211","117759","117759","117759","0.4485959631523916","0.4485959631523916","0.4485959631523916"
"221","123340","123340","123340","0.43754047421472414","0.43754047421472414","0.43754047421472414"
"231","128921","128921","128921","0.42981016266691896","0.42981016266691896","0.42981016266691896"
"261","145664","145664","145664","0.4234113349313183","0.4234113349313183","0.4234113349313183"
"281","156826","156826","156826","0.436054646037519","0.436054646037519","0.436054646037519"
"301","167988","167988","167988","0.4391472533877407","0.4391472533877407","0.4391472533877407"
