"Epoch","fiery-cherry-32 - _step","fiery-cherry-32 - _step__MIN","fiery-cherry-32 - _step__MAX","fiery-cherry-32 - Train accuracy","fiery-cherry-32 - Train accuracy__MIN","fiery-cherry-32 - Train accuracy__MAX"
"127","63765","63765","63765","0.9532800000000001","0.9532800000000001","0.9532800000000001"
"129","64769","64769","64769","0.95338","0.95338","0.95338"
"130","65271","65271","65271","0.95412","0.95412","0.95412"
"132","66276","66276","66276","0.9538","0.9538","0.9538"
"133","66778","66778","66778","0.95302","0.95302","0.95302"
"134","67280","67280","67280","0.9555","0.9555","0.9555"
"135","67782","67782","67782","0.9555999999999999","0.9555999999999999","0.9555999999999999"
"137","68786","68786","68786","0.9554600000000001","0.9554600000000001","0.9554600000000001"
"138","69288","69288","69288","0.95586","0.95586","0.95586"
"139","69790","69790","69790","0.95514","0.95514","0.95514"
"140","70292","70292","70292","0.9594600000000001","0.9594600000000001","0.9594600000000001"
"142","71297","71297","71297","0.9604600000000001","0.9604600000000001","0.9604600000000001"
"143","71799","71799","71799","0.95918","0.95918","0.95918"
"144","72301","72301","72301","0.96002","0.96002","0.96002"
"145","72803","72803","72803","0.9621799999999999","0.9621799999999999","0.9621799999999999"
"146","73305","73305","73305","0.96142","0.96142","0.96142"
"147","73807","73807","73807","0.9613400000000001","0.9613400000000001","0.9613400000000001"
"148","74309","74309","74309","0.9621000000000002","0.9621000000000002","0.9621000000000002"
"150","75313","75313","75313","0.96536","0.96536","0.96536"
"151","75815","75815","75815","0.96432","0.96432","0.96432"
"153","76820","76820","76820","0.96504","0.96504","0.96504"
"154","77322","77322","77322","0.9676200000000001","0.9676200000000001","0.9676200000000001"
"156","78326","78326","78326","0.9681000000000002","0.9681000000000002","0.9681000000000002"
"157","78828","78828","78828","0.9672800000000001","0.9672800000000001","0.9672800000000001"
"159","79832","79832","79832","0.9682400000000001","0.9682400000000001","0.9682400000000001"
"161","80836","80836","80836","0.9680400000000001","0.9680400000000001","0.9680400000000001"
"162","81339","81339","81339","0.97188","0.97188","0.97188"
"164","82343","82343","82343","0.9689000000000001","0.9689000000000001","0.9689000000000001"
"165","82845","82845","82845","0.9703200000000001","0.9703200000000001","0.9703200000000001"
"166","83347","83347","83347","0.9708400000000001","0.9708400000000001","0.9708400000000001"
"167","83849","83849","83849","0.97324","0.97324","0.97324"
"168","84351","84351","84351","0.97384","0.97384","0.97384"
"169","84853","84853","84853","0.97182","0.97182","0.97182"
"171","85857","85857","85857","0.9745400000000001","0.9745400000000001","0.9745400000000001"
"173","86862","86862","86862","0.9734400000000001","0.9734400000000001","0.9734400000000001"
"174","87364","87364","87364","0.97612","0.97612","0.97612"
"175","87866","87866","87866","0.9763200000000001","0.9763200000000001","0.9763200000000001"
"177","88870","88870","88870","0.9788000000000002","0.9788000000000002","0.9788000000000002"
"178","89372","89372","89372","0.97828","0.97828","0.97828"
