"Epoch","vital-frost-17 - _step","vital-frost-17 - _step__MIN","vital-frost-17 - _step__MAX","vital-frost-17 - Train accuracy","vital-frost-17 - Train accuracy__MIN","vital-frost-17 - Train accuracy__MAX"
"4","2231","2231","2231","0.42309352517985616","0.42309352517985616","0.42309352517985616"
"5","2789","2789","2789","0.45999600319744205","0.45999600319744205","0.45999600319744205"
"6","3347","3347","3347","0.4854436450839328","0.4854436450839328","0.4854436450839328"
"7","3905","3905","3905","0.5054996003197443","0.5054996003197443","0.5054996003197443"
"8","4463","4463","4463","0.5189248601119105","0.5189248601119105","0.5189248601119105"
"10","5579","5579","5579","0.5447082334132693","0.5447082334132693","0.5447082334132693"
"11","6137","6137","6137","0.5533013589128698","0.5533013589128698","0.5533013589128698"
"12","6696","6696","6696","0.5576498800959232","0.5576498800959232","0.5576498800959232"
"13","7254","7254","7254","0.5610831334932055","0.5610831334932055","0.5610831334932055"
"14","7812","7812","7812","0.5665947242206234","0.5665947242206234","0.5665947242206234"
"15","8370","8370","8370","0.5743005595523581","0.5743005595523581","0.5743005595523581"
"16","8928","8928","8928","0.5850199840127898","0.5850199840127898","0.5850199840127898"
"17","9486","9486","9486","0.5915067945643484","0.5915067945643484","0.5915067945643484"
"19","10602","10602","10602","0.6015067945643485","0.6015067945643485","0.6015067945643485"
"20","11160","11160","11160","0.6051438848920864","0.6051438848920864","0.6051438848920864"
"21","11718","11718","11718","0.6162350119904076","0.6162350119904076","0.6162350119904076"
"22","12277","12277","12277","0.6217945643485212","0.6217945643485212","0.6217945643485212"
"23","12835","12835","12835","0.6304636290967227","0.6304636290967227","0.6304636290967227"
"26","14509","14509","14509","0.6466426858513189","0.6466426858513189","0.6466426858513189"
"29","16183","16183","16183","0.6683093525179856","0.6683093525179856","0.6683093525179856"
"31","17299","17299","17299","0.6773940847322143","0.6773940847322143","0.6773940847322143"
"33","18416","18416","18416","0.6887490007993605","0.6887490007993605","0.6887490007993605"
"36","20090","20090","20090","0.7036330935251799","0.7036330935251799","0.7036330935251799"
"38","21206","21206","21206","0.7106994404476419","0.7106994404476419","0.7106994404476419"
"39","21764","21764","21764","0.7148920863309353","0.7148920863309353","0.7148920863309353"
"40","22322","22322","22322","0.7178537170263789","0.7178537170263789","0.7178537170263789"
"41","22880","22880","22880","0.7214748201438849","0.7214748201438849","0.7214748201438849"
