"Epoch","fast-tree-19 - _step","fast-tree-19 - _step__MIN","fast-tree-19 - _step__MAX","fast-tree-19 - Train accuracy","fast-tree-19 - Train accuracy__MIN","fast-tree-19 - Train accuracy__MAX"
"149","74811","74811","74811","0.9698800000000001","0.9698800000000001","0.9698800000000001"
"150","75313","75313","75313","0.9719200000000001","0.9719200000000001","0.9719200000000001"
"151","75815","75815","75815","0.97134","0.97134","0.97134"
"153","76820","76820","76820","0.97156","0.97156","0.97156"
"155","77824","77824","77824","0.9723200000000001","0.9723200000000001","0.9723200000000001"
"156","78326","78326","78326","0.9748000000000001","0.9748000000000001","0.9748000000000001"
"157","78828","78828","78828","0.97394","0.97394","0.97394"
"158","79330","79330","79330","0.9753600000000001","0.9753600000000001","0.9753600000000001"
"160","80334","80334","80334","0.9757","0.9757","0.9757"
"161","80836","80836","80836","0.9773800000000001","0.9773800000000001","0.9773800000000001"
"162","81339","81339","81339","0.97562","0.97562","0.97562"
"163","81841","81841","81841","0.977","0.977","0.977"
"164","82343","82343","82343","0.9758000000000001","0.9758000000000001","0.9758000000000001"
"169","84853","84853","84853","0.9796200000000002","0.9796200000000002","0.9796200000000002"
"171","85857","85857","85857","0.9808400000000002","0.9808400000000002","0.9808400000000002"
"172","86360","86360","86360","0.9793400000000001","0.9793400000000001","0.9793400000000001"
"173","86862","86862","86862","0.9792000000000001","0.9792000000000001","0.9792000000000001"
"179","89874","89874","89874","0.98336","0.98336","0.98336"
"184","92385","92385","92385","0.98472","0.98472","0.98472"
"185","92887","92887","92887","0.9847","0.9847","0.9847"
"187","93891","93891","93891","0.9851200000000001","0.9851200000000001","0.9851200000000001"
"189","94895","94895","94895","0.98678","0.98678","0.98678"
"191","95899","95899","95899","0.98692","0.98692","0.98692"
"198","99414","99414","99414","0.98892","0.98892","0.98892"
"199","99916","99916","99916","0.98888","0.98888","0.98888"
"200","100418","100418","100418","0.9896000000000001","0.9896000000000001","0.9896000000000001"
"201","100920","100920","100920","0.98994","0.98994","0.98994"
"202","101423","101423","101423","0.99038","0.99038","0.99038"
